Word Frequencies in NRSVCE
Book,Word,Frequency
Jeremiah,lord,735
Jeremiah,king,269
Jeremiah,land,224
Jeremiah,people,209
Jeremiah,judah,180
Jeremiah,come,179
Jeremiah,word,178
Jeremiah,babylon,169
Jeremiah,thus,167
Jeremiah,god,162
Jeremiah,son,159
Jeremiah,house,130
Jeremiah,jeremiah,129
Jeremiah,israel,126
Jeremiah,day,118
Jeremiah,go,109
Jeremiah,jerusalem,106
Jeremiah,one,101
Jeremiah,city,97
Jeremiah,prophet,95
Jeremiah,nation,88
Jeremiah,make,87
Jeremiah,hand,86
Jeremiah,host,85
Jeremiah,us,74
Jeremiah,sword,72
Jeremiah,bring,72
Jeremiah,therefore,71
Jeremiah,upon,65
Jeremiah,egypt,61
Jeremiah,place,60
Jeremiah,see,58
Jeremiah,inhabitant,57
Jeremiah,saying,54
Jeremiah,away,54
Jeremiah,live,54
Jeremiah,put,53
Jeremiah,going,53
Jeremiah,earth,53
Jeremiah,name,53
Jeremiah,made,51
Jeremiah,evil,51
Jeremiah,take,51
Jeremiah,zedekiah,50
Jeremiah,time,50
Jeremiah,know,48
Jeremiah,give,48
Jeremiah,ancestor,47
Jeremiah,become,47
Jeremiah,back,47
Jeremiah,heart,46
Jeremiah,concerning,46
Jeremiah,hear,45
Jeremiah,great,45
Jeremiah,way,44
Jeremiah,year,42
Jeremiah,set,42
Jeremiah,among,42
Jeremiah,voice,42
Jeremiah,good,41
Jeremiah,heard,41
Jeremiah,official,40
Jeremiah,listen,40
Jeremiah,sent,39
Jeremiah,fire,39
Jeremiah,brought,38
Jeremiah,took,38
Jeremiah,moab,38
Jeremiah,priest,37
Jeremiah,disaster,37
Jeremiah,child,37
Jeremiah,chaldean,37
Jeremiah,speak,36
Jeremiah,turn,36
Jeremiah,surely,36
Jeremiah,every,35
Jeremiah,town,35
Jeremiah,would,35
Jeremiah,life,35
Jeremiah,offering,34
Jeremiah,thing,33
Jeremiah,yet,32
Jeremiah,cry,32
Jeremiah,famine,32
Jeremiah,anger,31
Jeremiah,men,30
Jeremiah,exile,30
Jeremiah,gate,29
Jeremiah,woman,29
Jeremiah,return,29
Jeremiah,daughter,29
Jeremiah,nebuchadrezzar,29
Jeremiah,send,28
Jeremiah,went,28
Jeremiah,heaven,28
Jeremiah,water,28
Jeremiah,taken,28
Jeremiah,drink,27
Jeremiah,done,27
Jeremiah,guard,27
Jeremiah,even,26
Jeremiah,servant,26
Jeremiah,serve,26
Jeremiah,eye,26
Jeremiah,coming,26
Jeremiah,end,25
Jeremiah,destroy,25
Jeremiah,north,25
Jeremiah,waste,25
Jeremiah,covenant,25
Jeremiah,around,25
Jeremiah,fall,25
Jeremiah,die,25
Jeremiah,though,24
Jeremiah,gave,24
Jeremiah,man,24
Jeremiah,given,24
Jeremiah,punish,23
Jeremiah,another,23
Jeremiah,spoken,23
Jeremiah,field,23
Jeremiah,baruch,23
Jeremiah,scroll,23
Jeremiah,jehoiakim,22
Jeremiah,look,22
Jeremiah,without,22
Jeremiah,many,22
Jeremiah,shepherd,22
Jeremiah,flock,22
Jeremiah,lie,22
Jeremiah,spoke,22
Jeremiah,animal,22
Jeremiah,pestilence,22
Jeremiah,gedaliah,22
Jeremiah,break,21
Jeremiah,whole,21
Jeremiah,shame,21
Jeremiah,wrath,21
Jeremiah,cut,21
Jeremiah,remnant,21
Jeremiah,left,21
Jeremiah,army,21
Jeremiah,command,20
Jeremiah,gone,20
Jeremiah,seek,20
Jeremiah,turned,20
Jeremiah,called,20
Jeremiah,burn,20
Jeremiah,vessel,20
Jeremiah,ishmael,20
Jeremiah,stand,19
Jeremiah,mind,19
Jeremiah,sound,19
Jeremiah,nothing,19
Jeremiah,warrior,19
Jeremiah,enemy,19
Jeremiah,josiah,18
Jeremiah,also,18
Jeremiah,far,18
Jeremiah,broken,18
Jeremiah,fear,18
Jeremiah,desolation,18
Jeremiah,everyone,18
Jeremiah,neighbor,18
Jeremiah,deed,18
Jeremiah,wine,18
Jeremiah,well,17
Jeremiah,wickedness,17
Jeremiah,tell,17
Jeremiah,face,17
Jeremiah,wife,17
Jeremiah,zion,17
Jeremiah,together,17
Jeremiah,sea,17
Jeremiah,sin,17
Jeremiah,obey,17
Jeremiah,death,17
Jeremiah,horror,17
Jeremiah,captain,17
Jeremiah,month,16
Jeremiah,kingdom,16
Jeremiah,tree,16
Jeremiah,jacob,16
Jeremiah,long,16
Jeremiah,hill,16
Jeremiah,keep,16
Jeremiah,doings,16
Jeremiah,iniquity,16
Jeremiah,perish,16
Jeremiah,commanded,16
Jeremiah,court,16
Jeremiah,throne,15
Jeremiah,wall,15
Jeremiah,work,15
Jeremiah,fruit,15
Jeremiah,desert,15
Jeremiah,cistern,15
Jeremiah,save,15
Jeremiah,obeyed,15
Jeremiah,gather,15
Jeremiah,presence,15
Jeremiah,destroyed,15
Jeremiah,street,15
Jeremiah,making,15
Jeremiah,terror,15
Jeremiah,ahikam,15
Jeremiah,restore,15
Jeremiah,nethaniah,15
Jeremiah,johanan,15
Jeremiah,proclaim,14
Jeremiah,eat,14
Jeremiah,committed,14
Jeremiah,raise,14
Jeremiah,horse,14
Jeremiah,ear,14
Jeremiah,temple,14
Jeremiah,dismayed,14
Jeremiah,never,14
Jeremiah,david,14
Jeremiah,prophesied,13
Jeremiah,baal,13
Jeremiah,forsaken,13
Jeremiah,head,13
Jeremiah,yoke,13
Jeremiah,wind,13
Jeremiah,longer,13
Jeremiah,war,13
Jeremiah,full,13
Jeremiah,enter,13
Jeremiah,whose,13
Jeremiah,fig,13
Jeremiah,human,13
Jeremiah,prophesy,13
Jeremiah,night,13
Jeremiah,object,13
Jeremiah,peace,13
Jeremiah,rest,13
Jeremiah,sight,13
Jeremiah,offspring,13
Jeremiah,fortune,13
Jeremiah,settle,13
Jeremiah,burned,13
Jeremiah,mizpah,13
